file,chunk_id,chunk,source_url
scraped_data/corelink.hsrn.nyu.edu/documentation_technical-overview.html,0,"We are in the process of updating these pages. Please refer to the new Corelink Documentation at https://corelink-docs.hsrn.nyu.edu Control Stream example with sender logging in first Control Stream example with receiver logging in first Control messages and data packets into separate streams. 5 stream types are available: TCP control stream that uses JSON messages to communicate WS control stream that uses JSON messages to communicate TCP stream for data UDP stream for data WS stream for data The workflow to use the streams: Login (user must be available in the user database, we might expand in the future to LDAP, oAuth2 etc. For now the standard user is Testuser with Testpassword. The login allows users to: A user can log in several times and use different tokens Tokens expire after a timeout Get available rooms: for now the room ‘Holodeck’ will be always available Register stream in available room List available streams Subscribe to available stream",https://corelink.hsrn.nyu.edu/documentation/technical-overview
scraped_data/corelink.hsrn.nyu.edu/next-steps.html,0,Home Examples Documentation Technical Overview Client Documentation Server Documentations Client Initiated Control Functions Server Initiated Control Functions Corelink Plugins Protocol Documentation Control Stream Protocol Data Stream Protocol Next Steps Get Started Contributing to Corelink Naming Convention Guidelines About Us Team Collaborators Support Contact Us Get Started Download : Get Corelink Corelink - Real Time Networking for Research. Home Examples Documentation Technical Overview Client Documentation Server Documentations Client Initiated Control Functions Server Initiated Control Functions Corelink Plugins Protocol Documentation Control Stream Protocol Data Stream Protocol Next Steps Get Started Contributing to Corelink Naming Convention Guidelines About Us Team Collaborators Support Contact Us,https://corelink.hsrn.nyu.edu/next-steps
scraped_data/corelink.hsrn.nyu.edu/documentation.html,0,"We are in the process of updating these pages. Please refer to the new Corelink Documentation at https://corelink-docs.hsrn.nyu.edu Control Stream example with sender logging in first Control Stream example with receiver logging in first Control messages and data packets into separate streams. 5 stream types are available: TCP control stream that uses JSON messages to communicate WS control stream that uses JSON messages to communicate TCP stream for data UDP stream for data WS stream for data The workflow to use the streams: Login (user must be available in the user database, we might expand in the future to LDAP, oAuth2 etc. For now the standard user is Testuser with Testpassword. The login allows users to: A user can log in several times and use different tokens Tokens expire after a timeout Get available rooms: for now the room ‘Holodeck’ will be always available Register stream in available room List available streams Subscribe to available stream",https://corelink.hsrn.nyu.edu/documentation
scraped_data/corelink.hsrn.nyu.edu/index.html,0,"Corelink is a real time low latency network framework that facilitates connecting users, data, and applications with computational resources. Corelink software is open source and licensed under the MIT license. The Corelink distributed stream management platform allows users to define, send and receive real-time data in virtually any format - audio, motion capture, video, floorplans, maps, facial capture, virtual reality tracking, and many more. We are in the process of updating these pages. Please refer to the new Corelink Documentation at https://corelink-docs.hsrn.nyu.edu Audio through Corelink to audio and text. Motion tracking point cloud through Corelink to VR rendering of skeleton. Multiple users shared data through Corelink. Corelink is designed to provide low latency cross platform stream processing. Computers can connect to Corelink to send and receive streams via web application or command line script, or via a VR headset, or GUI software interface.",https://corelink.hsrn.nyu.edu/index
scraped_data/corelink.hsrn.nyu.edu/index.html,1,"Corelink uses a very small fixed header (8 bytes) to minimize data transfer latencies , with development capacity to add a flexible header for specific applications loads. Though servers inherently add a certain amount of latency overhead to the run time on the fiber, tests show a current NYU network latency below 5ms (depending on packet size and functional overhead on the server). The Corelink protocol defines a federated model that shares user and workspace information across many locations, permitting the system to minimize stream transport latencies locally (in the same network or city) and globally (across longer distances). Corelink manages all the routing needed to create a pipeline, a broadcast, a multicast, or any other web of connection possibilities. Corelink also incorporates a user and workspace management capability to restrict streams to specific applications, functions or users. Custom plugins help the user to process streams in real-time.",https://corelink.hsrn.nyu.edu/index
scraped_data/corelink.hsrn.nyu.edu/index.html,2,"Examples include video transcoders, audio spatialization functions, data encoding but users can create their own plugins and processing pipelines. Corelink has developed client libraries that simplify developing and integrating real time applications including: NodeJS, Browser, C++, C#. A dynamically linked C++ library allows other languages, like Python, to use the Corelink bindings to enable high speed low latency data transfers. Under the hood, Corelink uses user authentication, a publish-subscribe model, and selective data transmission to get data from point A to point B, C, D, etc. The authentication and control messages are secured and encrypted through websockets-secure, while the data can be sent using UDP, TCP, and websockets-secure depending on the users or applications needs (fastest option, no loss, encrypted, etc.). As each packet reaches the server, the server can route that packet to any user who has requested and has permission to access the data.",https://corelink.hsrn.nyu.edu/index
scraped_data/corelink.hsrn.nyu.edu/index.html,3,"Corelink was initially developed as a transport layer for the NYU-Holodeck project with funding from the National Science Foundation (NSF MRI award. #1626098) The Corelink team continues to work on future functionality, and adding features like asset management, a web-based admin interface to manage the server, fine grained permissions and enhanced configuration management for users and applications.!",https://corelink.hsrn.nyu.edu/index
scraped_data/corelink.hsrn.nyu.edu/documentation_server-documentation_client-initiated-control-functions.html,0,Client Initiated Control Functions auth authenticate a user Request: Response: keepAlive ping the server to keep alive Request: Response: listFunctions list available client functions Request: Response: listServerFunctions list available server functions Request: Response: describeFunction retrieve client initiated function description Request: Response: describeServerFunction retrieve description of server initiated function Request: Response: listWorkspaces list existing workspaces Request: Response: addWorkspace add a new workspace Request: Response: setDefaultWorkspace set a default workspace Request: Response: getDefaultWorkspace get a default workspace Request: Response: rmWorkspace remove an existing workspace Request: Response: addUser add a new User Request: Response: password change password for an existing User Request: Response: rmUser remove an existing User Request: Response: listUsers list existing users Request: Response: addGroup add a new Group Request: Response: addUserGroup add a user to a Group Request: Response: rmUserGroup remove a user to a Group Request: Response: changeOwner change an existing Group ownership Request: Response: rmGroup remove an existing Group Request: Response: listGroups list existing Group Request: Response: sender register a new stream as sender Request: Response: listStreams list existing stream Request: Response: streamInfo get information about a stream Request: Response: receiver register a new stream as receiver Request: Response: subscribe subscribe additional streams to an existing receiver Request: Response: unsubscribe unsubscribe streams from an existing receiver Request: Response: setConfig set a server config Request: Response: disconnect disconnect a stream or several streams for the logged in user Request: Response: expire expire a user session Request: Response:,https://corelink.hsrn.nyu.edu/documentation/server-documentation/client-initiated-control-functions
scraped_data/corelink.hsrn.nyu.edu/documentation_client-documentation.html,0,Home Examples Documentation Technical Overview Client Documentation Server Documentations Client Initiated Control Functions Server Initiated Control Functions Corelink Plugins Protocol Documentation Control Stream Protocol Data Stream Protocol Next Steps Get Started Contributing to Corelink Naming Convention Guidelines About Us Team Collaborators Support Contact Us Client Documentation NodeJS C++ C# Python Corelink - Real Time Networking for Research. Home Examples Documentation Technical Overview Client Documentation Server Documentations Client Initiated Control Functions Server Initiated Control Functions Corelink Plugins Protocol Documentation Control Stream Protocol Data Stream Protocol Next Steps Get Started Contributing to Corelink Naming Convention Guidelines About Us Team Collaborators Support Contact Us,https://corelink.hsrn.nyu.edu/documentation/client-documentation
scraped_data/corelink.hsrn.nyu.edu/next-steps_contributing-to-corelink.html,0,"First off, thanks for taking the time to contribute! The following is a set of guidelines for contributing to Holodeck and its packages.These are mostly guidelines, not rules. Use your best judgment, and feel free to propose changes to this document in a pull request. All JavaScript code must adhere to Airbnb JavaScript Style Guide For consistency in our code style and formatting,tools like ESLint,Prettier,Husky and Lint-staged are used. ESLint is a tool which checks that our code conforms to our defined ""rules"" about coding convention and style.Prettier is a formatting tool that will format our code in a consistent way every time we run the tool. Lint-staged is a tool that allows us to run linters and other such tools against only the files that are currently staged on git (ie the files we have “git added”).Husky is a tool that allows us specify certain scripts to run as git hooks in our package.json file.",https://corelink.hsrn.nyu.edu/next-steps/contributing-to-corelink
scraped_data/corelink.hsrn.nyu.edu/next-steps_contributing-to-corelink.html,1,"Husky takes care of actually setting up the hooks and running our scripts, we just tell it when to run and what to run. We will use lint-staged to run eslint, prettier and run our jest tests against the files that have been staged. Lint staged will be triggered to run by husky as a pre commit. Lint-staged will run eslint and prettier against the files that have been staged. Lint staged will be triggered to run by husky as a pre commit hook. So the workflow looks like this:",https://corelink.hsrn.nyu.edu/next-steps/contributing-to-corelink
scraped_data/corelink.hsrn.nyu.edu/documentation_server-documentation.html,0,Client Initiated Control Functions auth authenticate a user Request: Response: keepAlive ping the server to keep alive Request: Response: listFunctions list available client functions Request: Response: listServerFunctions list available server functions Request: Response: describeFunction retrieve client initiated function description Request: Response: describeServerFunction retrieve description of server initiated function Request: Response: listWorkspaces list existing workspaces Request: Response: addWorkspace add a new workspace Request: Response: setDefaultWorkspace set a default workspace Request: Response: getDefaultWorkspace get a default workspace Request: Response: rmWorkspace remove an existing workspace Request: Response: addUser add a new User Request: Response: password change password for an existing User Request: Response: rmUser remove an existing User Request: Response: listUsers list existing users Request: Response: addGroup add a new Group Request: Response: addUserGroup add a user to a Group Request: Response: rmUserGroup remove a user to a Group Request: Response: changeOwner change an existing Group ownership Request: Response: rmGroup remove an existing Group Request: Response: listGroups list existing Group Request: Response: sender register a new stream as sender Request: Response: listStreams list existing stream Request: Response: streamInfo get information about a stream Request: Response: receiver register a new stream as receiver Request: Response: subscribe subscribe additional streams to an existing receiver Request: Response: unsubscribe unsubscribe streams from an existing receiver Request: Response: setConfig set a server config Request: Response: disconnect disconnect a stream or several streams for the logged in user Request: Response: expire expire a user session Request: Response:,https://corelink.hsrn.nyu.edu/documentation/server-documentation
scraped_data/corelink.hsrn.nyu.edu/about-us_support.html,0,Corelink is an open source network communication infrastructure that has been developed with support from New York University and NSF research funding (including: Award #1626098 MRI: Development of Experiential Supercomputing: Developing a Transdisciplinary Research and Innovation Holodeck),https://corelink.hsrn.nyu.edu/about-us/support
scraped_data/corelink.hsrn.nyu.edu/next-steps_get-started.html,0,Home Examples Documentation Technical Overview Client Documentation Server Documentations Client Initiated Control Functions Server Initiated Control Functions Corelink Plugins Protocol Documentation Control Stream Protocol Data Stream Protocol Next Steps Get Started Contributing to Corelink Naming Convention Guidelines About Us Team Collaborators Support Contact Us Get Started Download : Get Corelink Corelink - Real Time Networking for Research. Home Examples Documentation Technical Overview Client Documentation Server Documentations Client Initiated Control Functions Server Initiated Control Functions Corelink Plugins Protocol Documentation Control Stream Protocol Data Stream Protocol Next Steps Get Started Contributing to Corelink Naming Convention Guidelines About Us Team Collaborators Support Contact Us,https://corelink.hsrn.nyu.edu/next-steps/get-started
scraped_data/corelink.hsrn.nyu.edu/documentation_server-documentation_server-initiated-control-functions.html,0,Server Initiated Control Functions update update a receiver with a new stream from sender Request: subscriber Update a sender with a new stream that subscribed. Request: stale Update a receiver that stream is stale and not in use anymore. A sender might have dropped or the stream might have timed out. Request: dropped Update a sender that receivers have dropped or unsubscribed. Request:,https://corelink.hsrn.nyu.edu/documentation/server-documentation/server-initiated-control-functions
scraped_data/corelink.hsrn.nyu.edu/documentation_plugins.html,0,Plugins are a method to add on the fly scalable processing to streams. Corelink - Real Time Networking for Research.,https://corelink.hsrn.nyu.edu/documentation/plugins
